game_num,agent_name,action,action_label
6392,MCCFRAgent_2,1,call
6392,MCCFRAgent_1,4,all_in
6392,MCCFRAgent_2,0,fold
6393,MCCFRAgent_1,3,raise_full_pot
6393,MCCFRAgent_2,3,raise_full_pot
6393,MCCFRAgent_1,2,raise_half_pot
6393,MCCFRAgent_2,1,call
6393,MCCFRAgent_1,4,all_in
6393,MCCFRAgent_2,0,fold
6394,MCCFRAgent_1,4,all_in
6394,MCCFRAgent_2,0,fold
6395,MCCFRAgent_1,4,all_in
6395,MCCFRAgent_2,0,fold
6396,MCCFRAgent_1,4,all_in
6396,MCCFRAgent_2,0,fold
6397,MCCFRAgent_1,1,call
6397,MCCFRAgent_2,3,raise_full_pot
6397,MCCFRAgent_1,4,all_in
6397,MCCFRAgent_2,0,fold
6398,MCCFRAgent_1,0,fold
6399,MCCFRAgent_1,0,fold
6400,MCCFRAgent_1,4,all_in
6400,MCCFRAgent_2,0,fold
6401,MCCFRAgent_1,0,fold
6402,MCCFRAgent_1,4,all_in
6402,MCCFRAgent_2,0,fold
6403,MCCFRAgent_1,4,all_in
6403,MCCFRAgent_2,0,fold
6404,MCCFRAgent_1,4,all_in
6404,MCCFRAgent_2,0,fold
6405,MCCFRAgent_1,1,call
6405,MCCFRAgent_2,3,raise_full_pot
6405,MCCFRAgent_1,1,call
6405,MCCFRAgent_1,2,raise_half_pot
6405,MCCFRAgent_2,1,call
6405,MCCFRAgent_1,3,raise_full_pot
6405,MCCFRAgent_2,3,raise_full_pot
6405,MCCFRAgent_1,4,all_in
6405,MCCFRAgent_2,0,fold
6406,MCCFRAgent_1,4,all_in
6406,MCCFRAgent_2,0,fold
6407,MCCFRAgent_1,4,all_in
6407,MCCFRAgent_2,0,fold
6408,MCCFRAgent_1,4,all_in
6408,MCCFRAgent_2,0,fold
6409,MCCFRAgent_1,3,raise_full_pot
6409,MCCFRAgent_2,0,fold
6410,MCCFRAgent_1,0,fold
6411,MCCFRAgent_1,0,fold
6412,MCCFRAgent_1,1,call
6412,MCCFRAgent_2,3,raise_full_pot
6412,MCCFRAgent_1,1,call
6412,MCCFRAgent_1,2,raise_half_pot
6412,MCCFRAgent_2,1,call
6412,MCCFRAgent_1,1,call
6412,MCCFRAgent_2,3,raise_full_pot
6412,MCCFRAgent_1,0,fold
