game_num,agent_name,chip_delta,won
218,MCTS_Agent,-60,False
219,HeuristicAgent,-1,False
219,MCTS_Agent,1,True
220,HeuristicAgent,-96,False
220,MCTS_Agent,96,True
221,HeuristicAgent,-48,False
221,MCTS_Agent,48,True
222,HeuristicAgent,96,True
222,MCTS_Agent,-96,False
223,HeuristicAgent,-97,False
223,MCTS_Agent,97,True
224,HeuristicAgent,-70,False
224,MCTS_Agent,70,True
225,HeuristicAgent,-88,False
225,MCTS_Agent,88,True
226,HeuristicAgent,80,True
226,MCTS_Agent,-80,False
227,HeuristicAgent,-72,False
227,MCTS_Agent,72,True
228,HeuristicAgent,0,False
228,MCTS_Agent,0,False
229,HeuristicAgent,85,True
229,MCTS_Agent,-85,False
230,HeuristicAgent,100,True
230,MCTS_Agent,-100,False
231,HeuristicAgent,100,True
231,MCTS_Agent,-100,False
232,HeuristicAgent,60,True
232,MCTS_Agent,-60,False
233,HeuristicAgent,-94,False
233,MCTS_Agent,94,True
234,HeuristicAgent,-1,False
234,MCTS_Agent,1,True
235,HeuristicAgent,-1,False
235,MCTS_Agent,1,True
236,HeuristicAgent,-70,False
236,MCTS_Agent,70,True
237,HeuristicAgent,-1,False
237,MCTS_Agent,1,True
238,HeuristicAgent,-1,False
238,MCTS_Agent,1,True
239,HeuristicAgent,-100,False
239,MCTS_Agent,100,True
240,HeuristicAgent,-100,False
240,MCTS_Agent,100,True
241,HeuristicAgent,-72,False
241,MCTS_Agent,72,True
242,HeuristicAgent,70,True
242,MCTS_Agent,-70,False
243,HeuristicAgent,-100,False
243,MCTS_Agent,100,True
244,HeuristicAgent,-1,False
244,MCTS_Agent,1,True
245,HeuristicAgent,-1,False
245,MCTS_Agent,1,True
246,HeuristicAgent,-1,False
246,MCTS_Agent,1,True
247,HeuristicAgent,-48,False
247,MCTS_Agent,48,True
248,HeuristicAgent,73,True
248,MCTS_Agent,-73,False
249,HeuristicAgent,-1,False
249,MCTS_Agent,1,True
250,HeuristicAgent,94,True
250,MCTS_Agent,-94,False
251,HeuristicAgent,94,True
251,MCTS_Agent,-94,False
252,HeuristicAgent,100,True
252,MCTS_Agent,-100,False
253,HeuristicAgent,0,False
253,MCTS_Agent,0,False
254,HeuristicAgent,-100,False
254,MCTS_Agent,100,True
255,HeuristicAgent,94,True
255,MCTS_Agent,-94,False
256,HeuristicAgent,-36,False
256,MCTS_Agent,36,True
257,HeuristicAgent,91,True
257,MCTS_Agent,-91,False
258,HeuristicAgent,-1,False
258,MCTS_Agent,1,True
259,HeuristicAgent,-70,False
259,MCTS_Agent,70,True
260,HeuristicAgent,60,True
260,MCTS_Agent,-60,False
261,HeuristicAgent,-88,False
261,MCTS_Agent,88,True
262,HeuristicAgent,70,True
262,MCTS_Agent,-70,False
263,HeuristicAgent,-88,False
263,MCTS_Agent,88,True
264,HeuristicAgent,2,True
264,MCTS_Agent,-2,False
265,HeuristicAgent,100,True
265,MCTS_Agent,-100,False
266,HeuristicAgent,80,True
266,MCTS_Agent,-80,False
267,HeuristicAgent,82,True
267,MCTS_Agent,-82,False
268,HeuristicAgent,-1,False
268,MCTS_Agent,1,True
269,HeuristicAgent,-1,False
269,MCTS_Agent,1,True
270,HeuristicAgent,100,True
270,MCTS_Agent,-100,False
271,HeuristicAgent,-1,False
271,MCTS_Agent,1,True
272,HeuristicAgent,16,True
272,MCTS_Agent,-16,False
273,HeuristicAgent,94,True
273,MCTS_Agent,-94,False
274,HeuristicAgent,-100,False
274,MCTS_Agent,100,True
275,HeuristicAgent,48,True
275,MCTS_Agent,-48,False
276,HeuristicAgent,-90,False
276,MCTS_Agent,90,True
277,HeuristicAgent,-60,False
277,MCTS_Agent,60,True
278,HeuristicAgent,-36,False
278,MCTS_Agent,36,True
279,HeuristicAgent,-100,False
279,MCTS_Agent,100,True
280,HeuristicAgent,94,True
280,MCTS_Agent,-94,False
281,HeuristicAgent,53,True
281,MCTS_Agent,-53,False
282,HeuristicAgent,-96,False
282,MCTS_Agent,96,True
283,HeuristicAgent,100,True
283,MCTS_Agent,-100,False
284,HeuristicAgent,-100,False
284,MCTS_Agent,100,True
285,HeuristicAgent,94,True
285,MCTS_Agent,-94,False
286,HeuristicAgent,36,True
286,MCTS_Agent,-36,False
287,HeuristicAgent,94,True
287,MCTS_Agent,-94,False
288,HeuristicAgent,82,True
288,MCTS_Agent,-82,False
289,HeuristicAgent,91,True
289,MCTS_Agent,-91,False
290,HeuristicAgent,-100,False
290,MCTS_Agent,100,True
291,HeuristicAgent,100,True
291,MCTS_Agent,-100,False
292,HeuristicAgent,-72,False
292,MCTS_Agent,72,True
293,HeuristicAgent,-80,False
293,MCTS_Agent,80,True
294,HeuristicAgent,64,True
294,MCTS_Agent,-64,False
295,HeuristicAgent,94,True
295,MCTS_Agent,-94,False
296,HeuristicAgent,0,False
296,MCTS_Agent,0,False
297,HeuristicAgent,-48,False
297,MCTS_Agent,48,True
298,HeuristicAgent,-90,False
298,MCTS_Agent,90,True
299,HeuristicAgent,-80,False
299,MCTS_Agent,80,True
300,HeuristicAgent,53,True
300,MCTS_Agent,-53,False
301,HeuristicAgent,-70,False
301,MCTS_Agent,70,True
302,HeuristicAgent,65,True
302,MCTS_Agent,-65,False
303,HeuristicAgent,-90,False
303,MCTS_Agent,90,True
304,HeuristicAgent,100,True
304,MCTS_Agent,-100,False
305,HeuristicAgent,100,True
305,MCTS_Agent,-100,False
306,HeuristicAgent,-48,False
306,MCTS_Agent,48,True
307,HeuristicAgent,80,True
307,MCTS_Agent,-80,False
308,HeuristicAgent,-1,False
308,MCTS_Agent,1,True
309,HeuristicAgent,32,True
309,MCTS_Agent,-32,False
310,HeuristicAgent,94,True
310,MCTS_Agent,-94,False
311,HeuristicAgent,100,True
311,MCTS_Agent,-100,False
312,HeuristicAgent,-80,False
312,MCTS_Agent,80,True
313,HeuristicAgent,-94,False
313,MCTS_Agent,94,True
314,HeuristicAgent,-1,False
314,MCTS_Agent,1,True
315,HeuristicAgent,94,True
315,MCTS_Agent,-94,False
316,HeuristicAgent,100,True
316,MCTS_Agent,-100,False
317,HeuristicAgent,70,True
317,MCTS_Agent,-70,False
318,HeuristicAgent,94,True
318,MCTS_Agent,-94,False
319,HeuristicAgent,80,True
319,MCTS_Agent,-80,False
320,HeuristicAgent,-32,False
320,MCTS_Agent,32,True
321,HeuristicAgent,48,True
321,MCTS_Agent,-48,False
322,HeuristicAgent,-1,False
322,MCTS_Agent,1,True
323,HeuristicAgent,-1,False
323,MCTS_Agent,1,True
324,HeuristicAgent,-100,False
324,MCTS_Agent,100,True
325,HeuristicAgent,82,True
325,MCTS_Agent,-82,False
326,HeuristicAgent,-72,False
326,MCTS_Agent,72,True
327,HeuristicAgent,-72,False
327,MCTS_Agent,72,True
328,HeuristicAgent,-48,False
328,MCTS_Agent,48,True
329,HeuristicAgent,-100,False
329,MCTS_Agent,100,True
330,HeuristicAgent,-1,False
330,MCTS_Agent,1,True
331,HeuristicAgent,96,True
331,MCTS_Agent,-96,False
332,HeuristicAgent,80,True
332,MCTS_Agent,-80,False
333,HeuristicAgent,0,False
333,MCTS_Agent,0,False
334,HeuristicAgent,47,True
334,MCTS_Agent,-47,False
335,HeuristicAgent,2,True
335,MCTS_Agent,-2,False
336,HeuristicAgent,91,True
336,MCTS_Agent,-91,False
337,HeuristicAgent,-100,False
337,MCTS_Agent,100,True
338,HeuristicAgent,82,True
338,MCTS_Agent,-82,False
339,HeuristicAgent,32,True
339,MCTS_Agent,-32,False
340,HeuristicAgent,80,True
340,MCTS_Agent,-80,False
341,HeuristicAgent,91,True
341,MCTS_Agent,-91,False
342,HeuristicAgent,100,True
342,MCTS_Agent,-100,False
343,HeuristicAgent,-51,False
343,MCTS_Agent,51,True
344,HeuristicAgent,64,True
344,MCTS_Agent,-64,False
345,HeuristicAgent,-100,False
345,MCTS_Agent,100,True
346,HeuristicAgent,32,True
346,MCTS_Agent,-32,False
347,HeuristicAgent,94,True
347,MCTS_Agent,-94,False
348,HeuristicAgent,100,True
348,MCTS_Agent,-100,False
349,HeuristicAgent,-24,False
349,MCTS_Agent,24,True
350,HeuristicAgent,100,True
350,MCTS_Agent,-100,False
351,HeuristicAgent,-1,False
351,MCTS_Agent,1,True
352,HeuristicAgent,76,True
352,MCTS_Agent,-76,False
353,HeuristicAgent,-82,False
353,MCTS_Agent,82,True
354,HeuristicAgent,80,True
354,MCTS_Agent,-80,False
355,HeuristicAgent,-70,False
355,MCTS_Agent,70,True
356,HeuristicAgent,-90,False
356,MCTS_Agent,90,True
357,HeuristicAgent,-90,False
357,MCTS_Agent,90,True
