game_num,agent_name,chip_delta,won
159,MCCFRAgent,-100,False
159,HeuristicAgent,100,True
160,MCCFRAgent,84,True
160,HeuristicAgent,-84,False
161,MCCFRAgent,-80,False
161,HeuristicAgent,80,True
162,MCCFRAgent,-100,False
162,HeuristicAgent,100,True
163,MCCFRAgent,-100,False
163,HeuristicAgent,100,True
164,MCCFRAgent,32,True
164,HeuristicAgent,-32,False
165,MCCFRAgent,80,True
165,HeuristicAgent,-80,False
166,MCCFRAgent,2,True
166,HeuristicAgent,-2,False
167,MCCFRAgent,-74,False
167,HeuristicAgent,74,True
168,MCCFRAgent,-96,False
168,HeuristicAgent,96,True
169,MCCFRAgent,-100,False
169,HeuristicAgent,100,True
170,MCCFRAgent,2,True
170,HeuristicAgent,-2,False
171,MCCFRAgent,-100,False
171,HeuristicAgent,100,True
172,MCCFRAgent,-100,False
172,HeuristicAgent,100,True
173,MCCFRAgent,2,True
173,HeuristicAgent,-2,False
174,MCCFRAgent,100,True
174,HeuristicAgent,-100,False
175,MCCFRAgent,100,True
175,HeuristicAgent,-100,False
176,MCCFRAgent,-4,False
176,HeuristicAgent,4,True
177,MCCFRAgent,-100,False
177,HeuristicAgent,100,True
178,MCCFRAgent,4,True
178,HeuristicAgent,-4,False
179,MCCFRAgent,2,True
179,HeuristicAgent,-2,False
180,MCCFRAgent,-100,False
180,HeuristicAgent,100,True
181,MCCFRAgent,80,True
181,HeuristicAgent,-80,False
182,MCCFRAgent,4,True
182,HeuristicAgent,-4,False
183,MCCFRAgent,100,True
183,HeuristicAgent,-100,False
184,MCCFRAgent,-80,False
184,HeuristicAgent,80,True
185,MCCFRAgent,68,True
185,HeuristicAgent,-68,False
186,MCCFRAgent,16,True
186,HeuristicAgent,-16,False
187,MCCFRAgent,8,True
187,HeuristicAgent,-8,False
188,MCCFRAgent,2,True
188,HeuristicAgent,-2,False
189,MCCFRAgent,-100,False
189,HeuristicAgent,100,True
190,MCCFRAgent,2,True
190,HeuristicAgent,-2,False
191,MCCFRAgent,-100,False
191,HeuristicAgent,100,True
192,MCCFRAgent,-88,False
192,HeuristicAgent,88,True
193,MCCFRAgent,-64,False
193,HeuristicAgent,64,True
194,MCCFRAgent,2,True
194,HeuristicAgent,-2,False
195,MCCFRAgent,2,True
195,HeuristicAgent,-2,False
196,MCCFRAgent,2,True
196,HeuristicAgent,-2,False
197,MCCFRAgent,100,True
